id,wkt
,POINT (11.953310012817383 13.713502883911133)
,"POLYGON ((13.153310012817382 13.713502883911133, 13.130252349301259 13.479394497491779, 13.061965451830927 13.254282765073025, 12.951073547580437 13.04681860428761, 12.80183815024124 12.864974746487276, 12.619994292440905 12.715739349148079, 12.41253013165549 12.604847444897588, 12.187418399236737 12.536560547427257, 11.953310012817383 12.513502883911134, 11.719201626398029 12.536560547427257, 11.494089893979275 12.604847444897588, 11.28662573319386 12.715739349148079, 11.104781875393526 12.864974746487276, 10.955546478054329 13.04681860428761, 10.844654573803838 13.254282765073025, 10.776367676333507 13.47939449749178, 10.753310012817384 13.713502883911135, 10.776367676333507 13.947611270330487, 10.84465457380384 14.172723002749242, 10.95554647805433 14.380187163534657, 11.104781875393527 14.562031021334992, 11.286625733193862 14.711266418674189, 11.494089893979277 14.822158322924677, 11.719201626398032 14.89044522039501, 11.953310012817386 14.913502883911132, 12.18741839923674 14.890445220395009, 12.412530131655494 14.822158322924675, 12.619994292440909 14.711266418674185, 12.801838150241243 14.562031021334986, 12.951073547580439 14.380187163534652, 13.061965451830929 14.172723002749237, 13.13025234930126 13.947611270330482, 13.153310012817382 13.713502883911133))"
,POINT (13.375671386718752 15.377561445947359)
,"POLYGON ((14.575671386718751 15.377561445947359, 14.552613723202628 15.143453059528005, 14.484326825732296 14.918341327109252, 14.373434921481806 14.710877166323836, 14.224199524142609 14.529033308523502, 14.042355666342274 14.379797911184305, 13.83489150555686 14.268906006933815, 13.609779773138106 14.200619109463483, 13.375671386718752 14.17756144594736, 13.141563000299398 14.200619109463483, 12.916451267880644 14.268906006933815, 12.70898710709523 14.379797911184305, 12.527143249294895 14.529033308523502, 12.377907851955698 14.710877166323836, 12.267015947705207 14.918341327109252, 12.198729050234874 15.143453059528007, 12.175671386718752 15.37756144594736, 12.198729050234876 15.611669832366713, 12.267015947705207 15.836781564785468, 12.377907851955698 16.04424572557088, 12.527143249294896 16.226089583371216, 12.708987107095231 16.375324980710413, 12.916451267880646 16.486216884960903, 13.141563000299401 16.554503782431237, 13.375671386718755 16.57756144594736, 13.60977977313811 16.554503782431233, 13.834891505556863 16.486216884960903, 14.042355666342278 16.37532498071041, 14.224199524142612 16.226089583371213, 14.373434921481808 16.044245725570878, 14.484326825732298 15.836781564785463, 14.55261372320263 15.611669832366708, 14.575671386718751 15.377561445947359))"
,POINT (13.375671386718752 15.377685546875005)
,"POLYGON ((14.575671386718751 15.377685546875005, 14.552613723202628 15.143577160455651, 14.484326825732296 14.918465428036898, 14.373434921481806 14.711001267251483, 14.224199524142609 14.529157409451148, 14.042355666342274 14.379922012111951, 13.83489150555686 14.269030107861461, 13.609779773138106 14.20074321039113, 13.375671386718752 14.177685546875006, 13.141563000299398 14.20074321039113, 12.916451267880644 14.269030107861461, 12.70898710709523 14.379922012111951, 12.527143249294895 14.529157409451148, 12.377907851955698 14.711001267251483, 12.267015947705207 14.918465428036898, 12.198729050234874 15.143577160455653, 12.175671386718752 15.377685546875007, 12.198729050234876 15.61179393329436, 12.267015947705207 15.836905665713115, 12.377907851955698 16.044369826498528, 12.527143249294896 16.226213684298862, 12.708987107095231 16.37544908163806, 12.916451267880646 16.48634098588855, 13.141563000299401 16.554627883358883, 13.375671386718755 16.577685546875006, 13.60977977313811 16.554627883358883, 13.834891505556863 16.48634098588855, 14.042355666342278 16.375449081638056, 14.224199524142612 16.22621368429886, 14.373434921481808 16.044369826498524, 14.484326825732298 15.83690566571311, 14.55261372320263 15.611793933294354, 14.575671386718751 15.377685546875005))"
,POINT (16.74072265625 15.377685546875005)
,"POLYGON ((17.94072265625 15.377685546875005, 17.917664992733876 15.143577160455651, 17.849378095263543 14.918465428036898, 17.738486191013052 14.711001267251483, 17.589250793673855 14.529157409451148, 17.407406935873524 14.379922012111951, 17.199942775088108 14.269030107861461, 16.974831042669354 14.20074321039113, 16.74072265625 14.177685546875006, 16.506614269830646 14.20074321039113, 16.281502537411892 14.269030107861461, 16.07403837662648 14.379922012111951, 15.892194518826143 14.529157409451148, 15.742959121486946 14.711001267251483, 15.632067217236456 14.918465428036898, 15.563780319766124 15.143577160455653, 15.54072265625 15.377685546875007, 15.563780319766124 15.61179393329436, 15.632067217236457 15.836905665713115, 15.742959121486948 16.044369826498528, 15.892194518826145 16.226213684298862, 16.07403837662648 16.37544908163806, 16.281502537411896 16.48634098588855, 16.50661426983065 16.554627883358883, 16.740722656250004 16.577685546875006, 16.974831042669358 16.554627883358883, 17.19994277508811 16.48634098588855, 17.407406935873524 16.375449081638056, 17.58925079367386 16.22621368429886, 17.738486191013056 16.044369826498524, 17.849378095263546 15.83690566571311, 17.917664992733876 15.611793933294354, 17.94072265625 15.377685546875005))"
,POINT (16.74072265625 13.228088378906252)
,"POLYGON ((17.94072265625 13.228088378906252, 17.917664992733876 12.993979992486898, 17.849378095263543 12.768868260068144, 17.738486191013052 12.56140409928273, 17.589250793673855 12.379560241482395, 17.407406935873524 12.230324844143198, 17.199942775088108 12.119432939892707, 16.974831042669354 12.051146042422376, 16.74072265625 12.028088378906252, 16.506614269830646 12.051146042422376, 16.281502537411892 12.119432939892707, 16.07403837662648 12.230324844143198, 15.892194518826143 12.379560241482395, 15.742959121486946 12.56140409928273, 15.632067217236456 12.768868260068144, 15.563780319766124 12.9939799924869, 15.54072265625 13.228088378906254, 15.563780319766124 13.462196765325606, 15.632067217236457 13.687308497744361, 15.742959121486948 13.894772658529776, 15.892194518826145 14.07661651633011, 16.07403837662648 14.225851913669308, 16.281502537411896 14.336743817919796, 16.50661426983065 14.40503071539013, 16.740722656250004 14.428088378906251, 16.974831042669358 14.405030715390128, 17.19994277508811 14.336743817919794, 17.407406935873524 14.225851913669304, 17.58925079367386 14.076616516330105, 17.738486191013056 13.89477265852977, 17.849378095263546 13.687308497744356, 17.917664992733876 13.4621967653256, 17.94072265625 13.228088378906252))"
,POINT (13.375671386718752 13.228088378906252)
,"POLYGON ((14.575671386718751 13.228088378906252, 14.552613723202628 12.993979992486898, 14.484326825732296 12.768868260068144, 14.373434921481806 12.56140409928273, 14.224199524142609 12.379560241482395, 14.042355666342274 12.230324844143198, 13.83489150555686 12.119432939892707, 13.609779773138106 12.051146042422376, 13.375671386718752 12.028088378906252, 13.141563000299398 12.051146042422376, 12.916451267880644 12.119432939892707, 12.70898710709523 12.230324844143198, 12.527143249294895 12.379560241482395, 12.377907851955698 12.56140409928273, 12.267015947705207 12.768868260068144, 12.198729050234874 12.9939799924869, 12.175671386718752 13.228088378906254, 12.198729050234876 13.462196765325606, 12.267015947705207 13.687308497744361, 12.377907851955698 13.894772658529776, 12.527143249294896 14.07661651633011, 12.708987107095231 14.225851913669308, 12.916451267880646 14.336743817919796, 13.141563000299401 14.40503071539013, 13.375671386718755 14.428088378906251, 13.60977977313811 14.405030715390128, 13.834891505556863 14.336743817919794, 14.042355666342278 14.225851913669304, 14.224199524142612 14.076616516330105, 14.373434921481808 13.89477265852977, 14.484326825732298 13.687308497744356, 14.55261372320263 13.4621967653256, 14.575671386718751 13.228088378906252))"
,POINT (13.375671386718752 15.377561445947359)
,"POLYGON ((14.575671386718751 15.377561445947359, 14.552613723202628 15.143453059528005, 14.484326825732296 14.918341327109252, 14.373434921481806 14.710877166323836, 14.224199524142609 14.529033308523502, 14.042355666342274 14.379797911184305, 13.83489150555686 14.268906006933815, 13.609779773138106 14.200619109463483, 13.375671386718752 14.17756144594736, 13.141563000299398 14.200619109463483, 12.916451267880644 14.268906006933815, 12.70898710709523 14.379797911184305, 12.527143249294895 14.529033308523502, 12.377907851955698 14.710877166323836, 12.267015947705207 14.918341327109252, 12.198729050234874 15.143453059528007, 12.175671386718752 15.37756144594736, 12.198729050234876 15.611669832366713, 12.267015947705207 15.836781564785468, 12.377907851955698 16.04424572557088, 12.527143249294896 16.226089583371216, 12.708987107095231 16.375324980710413, 12.916451267880646 16.486216884960903, 13.141563000299401 16.554503782431237, 13.375671386718755 16.57756144594736, 13.60977977313811 16.554503782431233, 13.834891505556863 16.486216884960903, 14.042355666342278 16.37532498071041, 14.224199524142612 16.226089583371213, 14.373434921481808 16.044245725570878, 14.484326825732298 15.836781564785463, 14.55261372320263 15.611669832366708, 14.575671386718751 15.377561445947359))"
,POINT (18.85687255859375 14.025422367390119)
,"POLYGON ((20.05687255859375 14.025422367390119, 20.033814895077626 13.791313980970765, 19.965527997607293 13.566202248552012, 19.854636093356802 13.358738087766596, 19.705400696017605 13.176894229966262, 19.523556838217274 13.027658832627065, 19.316092677431858 12.916766928376575, 19.090980945013104 12.848480030906243, 18.85687255859375 12.82542236739012, 18.622764172174396 12.848480030906243, 18.397652439755642 12.916766928376575, 18.19018827897023 13.027658832627065, 18.008344421169895 13.176894229966262, 17.859109023830694 13.358738087766596, 17.748217119580207 13.566202248552012, 17.679930222109874 13.791313980970767, 17.65687255859375 14.02542236739012, 17.679930222109874 14.259530753809473, 17.748217119580207 14.484642486228228, 17.859109023830698 14.692106647013643, 18.008344421169895 14.873950504813978, 18.19018827897023 15.023185902153175, 18.397652439755646 15.134077806403663, 18.6227641721744 15.202364703873997, 18.856872558593754 15.225422367390118, 19.090980945013108 15.202364703873995, 19.31609267743186 15.134077806403662, 19.523556838217274 15.023185902153172, 19.70540069601761 14.873950504813973, 19.854636093356806 14.692106647013638, 19.965527997607296 14.484642486228223, 20.033814895077626 14.259530753809468, 20.05687255859375 14.025422367390119))"
,POINT (18.85687255859375 14.025512695312502)
,"POLYGON ((20.05687255859375 14.025512695312502, 20.033814895077626 13.791404308893148, 19.965527997607293 13.566292576474394, 19.854636093356802 13.35882841568898, 19.705400696017605 13.176984557888645, 19.523556838217274 13.027749160549448, 19.316092677431858 12.916857256298957, 19.090980945013104 12.848570358828626, 18.85687255859375 12.825512695312502, 18.622764172174396 12.848570358828626, 18.397652439755642 12.916857256298957, 18.19018827897023 13.027749160549448, 18.008344421169895 13.176984557888645, 17.859109023830694 13.35882841568898, 17.748217119580207 13.566292576474394, 17.679930222109874 13.79140430889315, 17.65687255859375 14.025512695312504, 17.679930222109874 14.259621081731856, 17.748217119580207 14.484732814150611, 17.859109023830698 14.692196974936026, 18.008344421169895 14.87404083273636, 18.19018827897023 15.023276230075558, 18.397652439755646 15.134168134326046, 18.6227641721744 15.20245503179638, 18.856872558593754 15.225512695312501, 19.090980945013108 15.202455031796378, 19.31609267743186 15.134168134326044, 19.523556838217274 15.023276230075554, 19.70540069601761 14.874040832736355, 19.854636093356806 14.69219697493602, 19.965527997607296 14.484732814150606, 20.033814895077626 14.25962108173185, 20.05687255859375 14.025512695312502))"
,POINT (20.38330078125 14.025512695312502)
,"POLYGON ((21.58330078125 14.025512695312502, 21.560243117733876 13.791404308893148, 21.491956220263543 13.566292576474394, 21.381064316013052 13.35882841568898, 21.231828918673855 13.176984557888645, 21.049985060873524 13.027749160549448, 20.842520900088108 12.916857256298957, 20.617409167669354 12.848570358828626, 20.38330078125 12.825512695312502, 20.149192394830646 12.848570358828626, 19.924080662411892 12.916857256298957, 19.71661650162648 13.027749160549448, 19.534772643826145 13.176984557888645, 19.385537246486944 13.35882841568898, 19.274645342236457 13.566292576474394, 19.206358444766124 13.79140430889315, 19.18330078125 14.025512695312504, 19.206358444766124 14.259621081731856, 19.274645342236457 14.484732814150611, 19.385537246486948 14.692196974936026, 19.534772643826145 14.87404083273636, 19.71661650162648 15.023276230075558, 19.924080662411896 15.134168134326046, 20.14919239483065 15.20245503179638, 20.383300781250004 15.225512695312501, 20.617409167669358 15.202455031796378, 20.84252090008811 15.134168134326044, 21.049985060873524 15.023276230075554, 21.23182891867386 14.874040832736355, 21.381064316013056 14.69219697493602, 21.491956220263546 14.484732814150606, 21.560243117733876 14.25962108173185, 21.58330078125 14.025512695312502))"
,POINT (20.38330078125 11.667907714843754)
,"POLYGON ((21.58330078125 11.667907714843754, 21.560243117733876 11.4337993284244, 21.491956220263543 11.208687596005646, 21.381064316013052 11.001223435220231, 21.231828918673855 10.819379577419896, 21.049985060873524 10.6701441800807, 20.842520900088108 10.55925227583021, 20.617409167669354 10.490965378359878, 20.38330078125 10.467907714843754, 20.149192394830646 10.490965378359878, 19.924080662411892 10.55925227583021, 19.71661650162648 10.6701441800807, 19.534772643826145 10.819379577419896, 19.385537246486944 11.001223435220231, 19.274645342236457 11.208687596005646, 19.206358444766124 11.433799328424401, 19.18330078125 11.667907714843755, 19.206358444766124 11.902016101263108, 19.274645342236457 12.127127833681863, 19.385537246486948 12.334591994467278, 19.534772643826145 12.516435852267612, 19.71661650162648 12.66567124960681, 19.924080662411896 12.776563153857298, 20.14919239483065 12.844850051327631, 20.383300781250004 12.867907714843753, 20.617409167669358 12.84485005132763, 20.84252090008811 12.776563153857296, 21.049985060873524 12.665671249606806, 21.23182891867386 12.516435852267607, 21.381064316013056 12.334591994467273, 21.491956220263546 12.127127833681858, 21.560243117733876 11.902016101263102, 21.58330078125 11.667907714843754))"
,POINT (18.85687255859375 11.667907714843754)
,"POLYGON ((20.05687255859375 11.667907714843754, 20.033814895077626 11.4337993284244, 19.965527997607293 11.208687596005646, 19.854636093356802 11.001223435220231, 19.705400696017605 10.819379577419896, 19.523556838217274 10.6701441800807, 19.316092677431858 10.55925227583021, 19.090980945013104 10.490965378359878, 18.85687255859375 10.467907714843754, 18.622764172174396 10.490965378359878, 18.397652439755642 10.55925227583021, 18.19018827897023 10.6701441800807, 18.008344421169895 10.819379577419896, 17.859109023830694 11.001223435220231, 17.748217119580207 11.208687596005646, 17.679930222109874 11.433799328424401, 17.65687255859375 11.667907714843755, 17.679930222109874 11.902016101263108, 17.748217119580207 12.127127833681863, 17.859109023830698 12.334591994467278, 18.008344421169895 12.516435852267612, 18.19018827897023 12.66567124960681, 18.397652439755646 12.776563153857298, 18.6227641721744 12.844850051327631, 18.856872558593754 12.867907714843753, 19.090980945013108 12.84485005132763, 19.31609267743186 12.776563153857296, 19.523556838217274 12.665671249606806, 19.70540069601761 12.516435852267607, 19.854636093356806 12.334591994467273, 19.965527997607296 12.127127833681858, 20.033814895077626 11.902016101263102, 20.05687255859375 11.667907714843754))"
,POINT (18.85687255859375 14.025422367390119)
,"POLYGON ((20.05687255859375 14.025422367390119, 20.033814895077626 13.791313980970765, 19.965527997607293 13.566202248552012, 19.854636093356802 13.358738087766596, 19.705400696017605 13.176894229966262, 19.523556838217274 13.027658832627065, 19.316092677431858 12.916766928376575, 19.090980945013104 12.848480030906243, 18.85687255859375 12.82542236739012, 18.622764172174396 12.848480030906243, 18.397652439755642 12.916766928376575, 18.19018827897023 13.027658832627065, 18.008344421169895 13.176894229966262, 17.859109023830694 13.358738087766596, 17.748217119580207 13.566202248552012, 17.679930222109874 13.791313980970767, 17.65687255859375 14.02542236739012, 17.679930222109874 14.259530753809473, 17.748217119580207 14.484642486228228, 17.859109023830698 14.692106647013643, 18.008344421169895 14.873950504813978, 18.19018827897023 15.023185902153175, 18.397652439755646 15.134077806403663, 18.6227641721744 15.202364703873997, 18.856872558593754 15.225422367390118, 19.090980945013108 15.202364703873995, 19.31609267743186 15.134077806403662, 19.523556838217274 15.023185902153172, 19.70540069601761 14.873950504813973, 19.854636093356806 14.692106647013638, 19.965527997607296 14.484642486228223, 20.033814895077626 14.259530753809468, 20.05687255859375 14.025422367390119))"
,POINT (20.45269775390625 11.147792932010878)
,"POLYGON ((21.65269775390625 11.147792932010878, 21.629640090390126 10.913684545591524, 21.561353192919793 10.68857281317277, 21.450461288669302 10.481108652387356, 21.301225891330105 10.299264794587021, 21.119382033529774 10.150029397247824, 20.911917872744358 10.039137492997334, 20.686806140325604 9.970850595527002, 20.45269775390625 9.947792932010879, 20.218589367486896 9.970850595527002, 19.993477635068142 10.039137492997334, 19.78601347428273 10.150029397247824, 19.604169616482395 10.299264794587021, 19.454934219143194 10.481108652387356, 19.344042314892707 10.68857281317277, 19.275755417422374 10.913684545591526, 19.25269775390625 11.14779293201088, 19.275755417422374 11.381901318430232, 19.344042314892707 11.607013050848987, 19.454934219143198 11.814477211634403, 19.604169616482395 11.996321069434737, 19.78601347428273 12.145556466773934, 19.993477635068146 12.256448371024423, 20.2185893674869 12.324735268494756, 20.452697753906254 12.347792932010877, 20.686806140325608 12.324735268494754, 20.91191787274436 12.25644837102442, 21.119382033529774 12.14555646677393, 21.30122589133011 11.996321069434732, 21.450461288669306 11.814477211634397, 21.561353192919796 11.607013050848982, 21.629640090390126 11.381901318430227, 21.65269775390625 11.147792932010878))"
,POINT (20.45269775390625 11.14788818359375)
,"POLYGON ((21.65269775390625 11.14788818359375, 21.629640090390126 10.913779797174396, 21.561353192919793 10.688668064755642, 21.450461288669302 10.481203903970227, 21.301225891330105 10.299360046169893, 21.119382033529774 10.150124648830696, 20.911917872744358 10.039232744580206, 20.686806140325604 9.970945847109874, 20.45269775390625 9.94788818359375, 20.218589367486896 9.970945847109874, 19.993477635068142 10.039232744580206, 19.78601347428273 10.150124648830696, 19.604169616482395 10.299360046169893, 19.454934219143194 10.481203903970227, 19.344042314892707 10.688668064755642, 19.275755417422374 10.913779797174398, 19.25269775390625 11.147888183593752, 19.275755417422374 11.381996570013104, 19.344042314892707 11.60710830243186, 19.454934219143198 11.814572463217274, 19.604169616482395 11.996416321017609, 19.78601347428273 12.145651718356806, 19.993477635068146 12.256543622607294, 20.2185893674869 12.324830520077628, 20.452697753906254 12.34788818359375, 20.686806140325608 12.324830520077626, 20.91191787274436 12.256543622607293, 21.119382033529774 12.145651718356802, 21.30122589133011 11.996416321017604, 21.450461288669306 11.814572463217269, 21.561353192919796 11.607108302431854, 21.629640090390126 11.381996570013099, 21.65269775390625 11.14788818359375))"
,POINT (21.80548095703125 11.14788818359375)
,"POLYGON ((23.00548095703125 11.14788818359375, 22.982423293515126 10.913779797174396, 22.914136396044793 10.688668064755642, 22.803244491794302 10.481203903970227, 22.654009094455105 10.299360046169893, 22.472165236654774 10.150124648830696, 22.264701075869358 10.039232744580206, 22.039589343450604 9.970945847109874, 21.80548095703125 9.94788818359375, 21.571372570611896 9.970945847109874, 21.346260838193142 10.039232744580206, 21.13879667740773 10.150124648830696, 20.956952819607395 10.299360046169893, 20.807717422268194 10.481203903970227, 20.696825518017707 10.688668064755642, 20.628538620547374 10.913779797174398, 20.60548095703125 11.147888183593752, 20.628538620547374 11.381996570013104, 20.696825518017707 11.60710830243186, 20.807717422268198 11.814572463217274, 20.956952819607395 11.996416321017609, 21.13879667740773 12.145651718356806, 21.346260838193146 12.256543622607294, 21.5713725706119 12.324830520077628, 21.805480957031254 12.34788818359375, 22.039589343450608 12.324830520077626, 22.26470107586936 12.256543622607293, 22.472165236654774 12.145651718356802, 22.65400909445511 11.996416321017604, 22.803244491794306 11.814572463217269, 22.914136396044796 11.607108302431854, 22.982423293515126 11.381996570013099, 23.00548095703125 11.14788818359375))"
,POINT (21.80548095703125 8.61688232421875)
,"POLYGON ((23.00548095703125 8.61688232421875, 22.982423293515126 8.382773937799396, 22.914136396044793 8.157662205380642, 22.803244491794302 7.950198044595227, 22.654009094455105 7.768354186794893, 22.472165236654774 7.619118789455696, 22.264701075869358 7.508226885205206, 22.039589343450604 7.439939987734873, 21.80548095703125 7.41688232421875, 21.571372570611896 7.439939987734873, 21.346260838193142 7.508226885205206, 21.13879667740773 7.619118789455696, 20.956952819607395 7.768354186794893, 20.807717422268194 7.950198044595227, 20.696825518017707 8.157662205380642, 20.628538620547374 8.382773937799398, 20.60548095703125 8.616882324218752, 20.628538620547374 8.850990710638104, 20.696825518017707 9.07610244305686, 20.807717422268198 9.283566603842274, 20.956952819607395 9.465410461642609, 21.13879667740773 9.614645858981806, 21.346260838193146 9.725537763232294, 21.5713725706119 9.793824660702628, 21.805480957031254 9.81688232421875, 22.039589343450608 9.793824660702626, 22.26470107586936 9.725537763232293, 22.472165236654774 9.614645858981802, 22.65400909445511 9.465410461642604, 22.803244491794306 9.283566603842269, 22.914136396044796 9.076102443056854, 22.982423293515126 8.850990710638099, 23.00548095703125 8.61688232421875))"
,POINT (20.45269775390625 8.61688232421875)
,"POLYGON ((21.65269775390625 8.61688232421875, 21.629640090390126 8.382773937799396, 21.561353192919793 8.157662205380642, 21.450461288669302 7.950198044595227, 21.301225891330105 7.768354186794893, 21.119382033529774 7.619118789455696, 20.911917872744358 7.508226885205206, 20.686806140325604 7.439939987734873, 20.45269775390625 7.41688232421875, 20.218589367486896 7.439939987734873, 19.993477635068142 7.508226885205206, 19.78601347428273 7.619118789455696, 19.604169616482395 7.768354186794893, 19.454934219143194 7.950198044595227, 19.344042314892707 8.157662205380642, 19.275755417422374 8.382773937799398, 19.25269775390625 8.616882324218752, 19.275755417422374 8.850990710638104, 19.344042314892707 9.07610244305686, 19.454934219143198 9.283566603842274, 19.604169616482395 9.465410461642609, 19.78601347428273 9.614645858981806, 19.993477635068146 9.725537763232294, 20.2185893674869 9.793824660702628, 20.452697753906254 9.81688232421875, 20.686806140325608 9.793824660702626, 20.91191787274436 9.725537763232293, 21.119382033529774 9.614645858981802, 21.30122589133011 9.465410461642604, 21.450461288669306 9.283566603842269, 21.561353192919796 9.076102443056854, 21.629640090390126 8.850990710638099, 21.65269775390625 8.61688232421875))"
,POINT (20.45269775390625 11.147792932010878)
