id,wkt
,"POLYGON ((17.65687255859375 14.025512695312502, 17.679930222109874 14.259621081731856, 17.748217119580207 14.48473281415061, 17.859109023830694 14.692196974936024, 18.008344421169895 14.874040832736359, 18.19018827897023 15.023276230075556, 18.397652439755642 15.134168134326046, 18.622764172174396 15.202455031796378, 18.85687255859375 15.225512695312501, 19.090980945013104 15.202455031796378, 19.316092677431858 15.134168134326046, 19.52355683821727 15.023276230075556, 19.705400696017605 14.874040832736359, 19.854636093356806 14.692196974936024, 19.965527997607296 14.48473281415061, 20.033814895077626 14.259621081731854, 20.05687255859375 14.025512695312502, 20.05687255859375 14.025422367390119, 20.033814895077626 13.791313980970765, 19.965527997607293 13.566202248552012, 19.854636093356802 13.358738087766596, 19.705400696017605 13.176894229966262, 19.523556838217274 13.027658832627065, 19.316092677431858 12.916766928376575, 19.090980945013104 12.848480030906243, 18.85687255859375 12.82542236739012, 18.622764172174396 12.848480030906243, 18.397652439755642 12.916766928376575, 18.19018827897023 13.027658832627065, 18.008344421169895 13.176894229966262, 17.859109023830694 13.358738087766596, 17.748217119580207 13.566202248552012, 17.679930222109874 13.791313980970767, 17.65687255859375 14.025422367390119, 17.65687255859375 14.025512695312502))"
,"POLYGON ((20.38330078125 15.225512695312501, 20.617409167669354 15.202455031796378, 20.842520900088108 15.134168134326046, 21.049985060873524 15.023276230075556, 21.231828918673855 14.874040832736359, 21.381064316013052 14.692196974936024, 21.491956220263543 14.48473281415061, 21.560243117733876 14.259621081731856, 21.58330078125 14.025512695312502, 21.560243117733876 13.791404308893148, 21.491956220263543 13.566292576474394, 21.381064316013056 13.35882841568898, 21.231828918673855 13.176984557888645, 21.04998506087352 13.027749160549448, 20.842520900088108 12.916857256298957, 20.617409167669354 12.848570358828624, 20.38330078125 12.825512695312502, 18.85687255859375 12.825512695312502, 18.622764172174396 12.848570358828626, 18.397652439755642 12.916857256298957, 18.190188278970226 13.027749160549448, 18.00834442116989 13.176984557888645, 17.859109023830694 13.35882841568898, 17.748217119580207 13.566292576474394, 17.679930222109874 13.791404308893148, 17.65687255859375 14.025512695312502, 17.679930222109874 14.259621081731856, 17.748217119580207 14.48473281415061, 17.859109023830694 14.692196974936024, 18.008344421169895 14.874040832736359, 18.19018827897023 15.023276230075556, 18.397652439755642 15.134168134326046, 18.622764172174396 15.20245503179638, 18.85687255859375 15.225512695312501, 20.38330078125 15.225512695312501))"
,"POLYGON ((21.58330078125 11.667907714843754, 21.560243117733876 11.4337993284244, 21.491956220263543 11.208687596005646, 21.381064316013052 11.001223435220231, 21.231828918673855 10.819379577419896, 21.049985060873524 10.6701441800807, 20.842520900088108 10.55925227583021, 20.617409167669354 10.490965378359878, 20.38330078125 10.467907714843754, 20.149192394830646 10.490965378359878, 19.924080662411892 10.55925227583021, 19.71661650162648 10.6701441800807, 19.534772643826145 10.819379577419896, 19.385537246486944 11.001223435220231, 19.274645342236457 11.208687596005646, 19.206358444766124 11.433799328424401, 19.18330078125 11.667907714843754, 19.18330078125 14.025512695312502, 19.206358444766124 14.259621081731856, 19.274645342236457 14.48473281415061, 19.385537246486944 14.692196974936024, 19.534772643826145 14.874040832736359, 19.71661650162648 15.023276230075556, 19.924080662411892 15.134168134326046, 20.149192394830646 15.202455031796378, 20.38330078125 15.225512695312501, 20.617409167669354 15.202455031796378, 20.842520900088108 15.134168134326046, 21.04998506087352 15.023276230075556, 21.231828918673855 14.874040832736359, 21.381064316013056 14.692196974936024, 21.491956220263546 14.48473281415061, 21.560243117733876 14.259621081731854, 21.58330078125 14.025512695312502, 21.58330078125 11.667907714843754))"
,"POLYGON ((18.85687255859375 10.467907714843754, 18.622764172174396 10.490965378359878, 18.397652439755642 10.55925227583021, 18.190188278970226 10.6701441800807, 18.00834442116989 10.819379577419896, 17.859109023830694 11.001223435220231, 17.748217119580207 11.208687596005646, 17.679930222109874 11.4337993284244, 17.65687255859375 11.667907714843754, 17.679930222109874 11.902016101263108, 17.748217119580207 12.127127833681861, 17.859109023830694 12.334591994467276, 18.008344421169895 12.51643585226761, 18.19018827897023 12.665671249606808, 18.397652439755642 12.776563153857298, 18.622764172174396 12.84485005132763, 18.85687255859375 12.867907714843753, 20.38330078125 12.867907714843753, 20.617409167669354 12.84485005132763, 20.842520900088108 12.776563153857298, 21.049985060873524 12.665671249606808, 21.231828918673855 12.51643585226761, 21.381064316013052 12.334591994467276, 21.491956220263543 12.127127833681861, 21.560243117733876 11.902016101263108, 21.58330078125 11.667907714843754, 21.560243117733876 11.4337993284244, 21.491956220263543 11.208687596005646, 21.381064316013056 11.001223435220231, 21.231828918673855 10.819379577419896, 21.04998506087352 10.6701441800807, 20.842520900088108 10.55925227583021, 20.617409167669354 10.490965378359878, 20.38330078125 10.467907714843754, 18.85687255859375 10.467907714843754))"
,"POLYGON ((17.65687255859375 14.025422367390119, 17.679930222109874 14.259530753809473, 17.748217119580207 14.484642486228227, 17.859109023830694 14.692106647013642, 18.008344421169895 14.873950504813976, 18.19018827897023 15.023185902153173, 18.397652439755642 15.134077806403663, 18.622764172174396 15.202364703873995, 18.85687255859375 15.225422367390118, 19.090980945013104 15.202364703873995, 19.316092677431858 15.134077806403663, 19.52355683821727 15.023185902153173, 19.705400696017605 14.873950504813976, 19.854636093356806 14.692106647013642, 19.965527997607296 14.484642486228227, 20.033814895077626 14.259530753809472, 20.05687255859375 14.025422367390119, 20.05687255859375 11.667907714843754, 20.033814895077626 11.4337993284244, 19.965527997607293 11.208687596005646, 19.854636093356802 11.001223435220231, 19.705400696017605 10.819379577419896, 19.523556838217274 10.6701441800807, 19.316092677431858 10.55925227583021, 19.090980945013104 10.490965378359878, 18.85687255859375 10.467907714843754, 18.622764172174396 10.490965378359878, 18.397652439755642 10.55925227583021, 18.19018827897023 10.6701441800807, 18.008344421169895 10.819379577419896, 17.859109023830694 11.001223435220231, 17.748217119580207 11.208687596005646, 17.679930222109874 11.433799328424401, 17.65687255859375 11.667907714843754, 17.65687255859375 14.025422367390119))"
,"POLYGON ((19.25269775390625 11.14788818359375, 19.275755417422374 11.381996570013104, 19.344042314892707 11.607108302431858, 19.454934219143194 11.814572463217273, 19.604169616482395 11.996416321017607, 19.78601347428273 12.145651718356804, 19.993477635068142 12.256543622607294, 20.218589367486896 12.324830520077626, 20.45269775390625 12.34788818359375, 20.686806140325604 12.324830520077626, 20.911917872744358 12.256543622607294, 21.11938203352977 12.145651718356804, 21.301225891330105 11.996416321017607, 21.450461288669306 11.814572463217273, 21.561353192919796 11.607108302431858, 21.629640090390126 11.381996570013102, 21.65269775390625 11.14788818359375, 21.65269775390625 11.147792932010878, 21.629640090390126 10.913684545591524, 21.561353192919793 10.68857281317277, 21.450461288669302 10.481108652387356, 21.301225891330105 10.299264794587021, 21.119382033529774 10.150029397247824, 20.911917872744358 10.039137492997334, 20.686806140325604 9.970850595527002, 20.45269775390625 9.947792932010879, 20.218589367486896 9.970850595527002, 19.993477635068142 10.039137492997334, 19.78601347428273 10.150029397247824, 19.604169616482395 10.299264794587021, 19.454934219143194 10.481108652387356, 19.344042314892707 10.68857281317277, 19.275755417422374 10.913684545591526, 19.25269775390625 11.147792932010878, 19.25269775390625 11.14788818359375))"
,"POLYGON ((21.80548095703125 12.34788818359375, 22.039589343450604 12.324830520077626, 22.264701075869358 12.256543622607294, 22.472165236654774 12.145651718356804, 22.654009094455105 11.996416321017607, 22.803244491794302 11.814572463217273, 22.914136396044793 11.607108302431858, 22.982423293515126 11.381996570013104, 23.00548095703125 11.14788818359375, 22.982423293515126 10.913779797174396, 22.914136396044793 10.688668064755642, 22.803244491794306 10.481203903970227, 22.654009094455105 10.299360046169893, 22.47216523665477 10.150124648830696, 22.264701075869358 10.039232744580206, 22.039589343450604 9.970945847109874, 21.80548095703125 9.94788818359375, 20.45269775390625 9.94788818359375, 20.218589367486896 9.970945847109874, 19.993477635068142 10.039232744580206, 19.786013474282726 10.150124648830696, 19.60416961648239 10.299360046169893, 19.454934219143194 10.481203903970227, 19.344042314892707 10.688668064755642, 19.275755417422374 10.913779797174396, 19.25269775390625 11.14788818359375, 19.275755417422374 11.381996570013104, 19.344042314892707 11.607108302431858, 19.454934219143194 11.814572463217273, 19.604169616482395 11.996416321017607, 19.78601347428273 12.145651718356804, 19.993477635068142 12.256543622607294, 20.218589367486896 12.324830520077626, 20.45269775390625 12.34788818359375, 21.80548095703125 12.34788818359375))"
,"POLYGON ((23.00548095703125 8.61688232421875, 22.982423293515126 8.382773937799396, 22.914136396044793 8.157662205380642, 22.803244491794302 7.950198044595227, 22.654009094455105 7.768354186794893, 22.472165236654774 7.619118789455696, 22.264701075869358 7.508226885205206, 22.039589343450604 7.439939987734873, 21.80548095703125 7.41688232421875, 21.571372570611896 7.439939987734873, 21.346260838193142 7.508226885205206, 21.13879667740773 7.619118789455696, 20.956952819607395 7.768354186794893, 20.807717422268194 7.950198044595227, 20.696825518017707 8.157662205380642, 20.628538620547374 8.382773937799398, 20.60548095703125 8.61688232421875, 20.60548095703125 11.14788818359375, 20.628538620547374 11.381996570013104, 20.696825518017707 11.607108302431858, 20.807717422268194 11.814572463217273, 20.956952819607395 11.996416321017607, 21.13879667740773 12.145651718356804, 21.346260838193142 12.256543622607294, 21.571372570611896 12.324830520077626, 21.80548095703125 12.34788818359375, 22.039589343450604 12.324830520077626, 22.264701075869358 12.256543622607294, 22.47216523665477 12.145651718356804, 22.654009094455105 11.996416321017607, 22.803244491794306 11.814572463217273, 22.914136396044796 11.607108302431858, 22.982423293515126 11.381996570013102, 23.00548095703125 11.14788818359375, 23.00548095703125 8.61688232421875))"
,"POLYGON ((20.45269775390625 7.41688232421875, 20.218589367486896 7.439939987734874, 19.993477635068142 7.5082268852052065, 19.786013474282726 7.619118789455696, 19.60416961648239 7.768354186794893, 19.454934219143194 7.950198044595227, 19.344042314892707 8.157662205380642, 19.275755417422374 8.382773937799396, 19.25269775390625 8.61688232421875, 19.275755417422374 8.850990710638104, 19.344042314892707 9.076102443056858, 19.454934219143194 9.283566603842273, 19.604169616482395 9.465410461642607, 19.78601347428273 9.614645858981804, 19.993477635068142 9.725537763232294, 20.218589367486896 9.793824660702626, 20.45269775390625 9.81688232421875, 21.80548095703125 9.81688232421875, 22.039589343450604 9.793824660702626, 22.264701075869358 9.725537763232294, 22.472165236654774 9.614645858981804, 22.654009094455105 9.465410461642607, 22.803244491794302 9.283566603842273, 22.914136396044793 9.076102443056858, 22.982423293515126 8.850990710638104, 23.00548095703125 8.61688232421875, 22.982423293515126 8.382773937799396, 22.914136396044793 8.157662205380642, 22.803244491794306 7.950198044595227, 22.654009094455105 7.768354186794893, 22.47216523665477 7.619118789455696, 22.264701075869358 7.508226885205206, 22.039589343450604 7.439939987734873, 21.80548095703125 7.41688232421875, 20.45269775390625 7.41688232421875))"
,"POLYGON ((19.25269775390625 11.147792932010878, 19.275755417422374 11.381901318430232, 19.344042314892707 11.607013050848986, 19.454934219143194 11.8144772116344, 19.604169616482395 11.996321069434735, 19.78601347428273 12.145556466773932, 19.993477635068142 12.256448371024423, 20.218589367486896 12.324735268494754, 20.45269775390625 12.347792932010877, 20.686806140325604 12.324735268494754, 20.911917872744358 12.256448371024423, 21.11938203352977 12.145556466773932, 21.301225891330105 11.996321069434735, 21.450461288669306 11.8144772116344, 21.561353192919796 11.607013050848986, 21.629640090390126 11.38190131843023, 21.65269775390625 11.147792932010878, 21.65269775390625 8.61688232421875, 21.629640090390126 8.382773937799396, 21.561353192919793 8.157662205380642, 21.450461288669302 7.950198044595227, 21.301225891330105 7.768354186794893, 21.119382033529774 7.619118789455696, 20.911917872744358 7.508226885205206, 20.686806140325604 7.439939987734873, 20.45269775390625 7.41688232421875, 20.218589367486896 7.439939987734873, 19.993477635068142 7.508226885205206, 19.78601347428273 7.619118789455696, 19.604169616482395 7.768354186794893, 19.454934219143194 7.950198044595227, 19.344042314892707 8.157662205380642, 19.275755417422374 8.382773937799398, 19.25269775390625 8.61688232421875, 19.25269775390625 11.147792932010878))"
,"POLYGON ((21.05653076171875 4.80328369140625, 21.079588425234874 5.037392077825604, 21.147875322705207 5.2625038102443575, 21.258767226955694 5.469967971029773, 21.408002624294895 5.651811828830107, 21.58984648209523 5.801047226169304, 21.797310642880642 5.911939130419794, 22.022422375299396 5.980226027890127, 22.25653076171875 6.00328369140625, 22.490639148138104 5.980226027890127, 22.715750880556858 5.911939130419794, 22.92321504134227 5.801047226169304, 23.105058899142605 5.651811828830107, 23.254294296481806 5.469967971029773, 23.365186200732296 5.2625038102443575, 23.433473098202626 5.037392077825603, 23.45653076171875 4.80328369140625, 23.45653076171875 4.803140161106157, 23.433473098202626 4.5690317746868025, 23.365186200732293 4.343920042268049, 23.254294296481802 4.136455881482634, 23.105058899142605 3.9546120236822997, 22.923215041342274 3.8053766263431026, 22.715750880556858 3.6944847220926125, 22.490639148138104 3.62619782462228, 22.25653076171875 3.6031401611061566, 22.022422375299396 3.62619782462228, 21.797310642880642 3.6944847220926125, 21.58984648209523 3.8053766263431026, 21.408002624294895 3.9546120236822997, 21.258767226955694 4.136455881482634, 21.147875322705207 4.343920042268049, 21.079588425234874 4.569031774686803, 21.05653076171875 4.803140161106157, 21.05653076171875 4.80328369140625))"
,"POLYGON ((23.36669921875 6.00328369140625, 23.600807605169354 5.980226027890127, 23.825919337588108 5.911939130419794, 24.033383498373524 5.801047226169304, 24.215227356173855 5.651811828830107, 24.364462753513052 5.469967971029773, 24.475354657763543 5.2625038102443575, 24.543641555233876 5.037392077825604, 24.56669921875 4.80328369140625, 24.543641555233876 4.569175304986896, 24.475354657763543 4.3440635725681425, 24.364462753513056 4.136599411782727, 24.215227356173855 3.954755553982393, 24.03338349837352 3.8055201566431958, 23.825919337588108 3.6946282523927056, 23.600807605169354 3.6263413549223733, 23.36669921875 3.60328369140625, 22.25653076171875 3.60328369140625, 22.022422375299396 3.6263413549223737, 21.797310642880642 3.6946282523927065, 21.589846482095226 3.8055201566431958, 21.40800262429489 3.954755553982393, 21.258767226955694 4.136599411782727, 21.147875322705207 4.3440635725681425, 21.079588425234874 4.569175304986896, 21.05653076171875 4.80328369140625, 21.079588425234874 5.037392077825604, 21.147875322705207 5.2625038102443575, 21.258767226955694 5.469967971029773, 21.408002624294895 5.651811828830107, 21.58984648209523 5.801047226169304, 21.797310642880642 5.911939130419794, 22.022422375299396 5.980226027890127, 22.25653076171875 6.00328369140625, 23.36669921875 6.00328369140625))"
,"POLYGON ((24.56669921875 2.58428955078125, 24.543641555233876 2.350181164361896, 24.475354657763543 2.1250694319431425, 24.364462753513052 1.9176052711577274, 24.215227356173855 1.735761413357393, 24.033383498373524 1.5865260160181958, 23.825919337588108 1.4756341117677059, 23.600807605169354 1.4073472142973735, 23.36669921875 1.38428955078125, 23.132590832330646 1.4073472142973735, 22.907479099911892 1.4756341117677059, 22.70001493912648 1.5865260160181958, 22.518171081326145 1.7357614133573929, 22.368935683986944 1.9176052711577274, 22.258043779736457 2.1250694319431425, 22.189756882266124 2.3501811643618966, 22.16669921875 2.58428955078125, 22.16669921875 4.80328369140625, 22.189756882266124 5.037392077825604, 22.258043779736457 5.2625038102443575, 22.368935683986944 5.469967971029773, 22.518171081326145 5.651811828830107, 22.70001493912648 5.801047226169304, 22.907479099911892 5.911939130419794, 23.132590832330646 5.980226027890127, 23.36669921875 6.00328369140625, 23.600807605169354 5.980226027890127, 23.825919337588108 5.911939130419794, 24.03338349837352 5.801047226169304, 24.215227356173855 5.651811828830107, 24.364462753513056 5.469967971029773, 24.475354657763546 5.2625038102443575, 24.543641555233876 5.037392077825603, 24.56669921875 4.80328369140625, 24.56669921875 2.58428955078125))"
